device_id,address,date,speed
300,"Дністровська, 32 Близенько 1.50 грн",2025-11-22,8.8
201,"Довженка, 33 Близенько 1.20 грн",2025-11-23,2.1
118,"Драгана, 4б  Близенько 2.00 грн",2025-11-22,11.6
194,"Дудаєва,7 Чарка до свята 1.50 грн",2025-11-22,24.1
108,"Дунайська, 7 Близенько 1.50 грн",2025-11-22,21.4
334,"Європейська, 3 Близенько 1.00 грн",2025-11-22,19.4
180,"Замарстинівська, 170б  Близенько 2.00 грн",2025-11-22,33.2
258,"Замарстинівська, 170н Близенько 2.00 грн",2025-11-22,31.7
225,"Замарстинівська, 55г Близенько 2.00 грн",2025-11-22,5.1
225,"Замарстинівська, 55г Близенько 2.00 грн",2025-11-23,13.6
172,"Зарицьких, 5  Близенько 2.00 грн",2025-11-22,73.6
326,"Зелена, 17 Сімі 2.00 грн",2025-11-22,4.1
326,"Зелена, 17 Сімі 2.00 грн",2025-11-23,12.3
165,"Зелена, 204  Близенько 2.00 грн",2025-11-22,71.6
57,"Зимна Вода, Тичини, 9  Близенько 1.50 грн",2025-11-22,1.3
209,"Золота, 25  Близенько 1.50 грн",2025-11-22,25.8
253,"Золота,30 Рукавичка 1.50 грн",2025-11-22,10.2
253,"Золота,30 Рукавичка 1.50 грн",2025-11-23,7.8
338,"Івасюка, 62 Близенько  1.00 грн",2025-11-22,0.3
282,"Йосифа Сліпого, 22 Близенько 2.00 грн",2025-11-22,27.5
282,"Йосифа Сліпого, 22 Близенько 2.00 грн",2025-11-23,28.1
277,"Кавалерідзе,23  Сім23 1.50 грн",2025-11-22,23.3
175,"Кн.Ольги, 100к  Близенько 2.00 грн",2025-11-23,29.1
224,"Кн.Ольги, 98л  Фрешка 2.00 грн",2025-11-22,11.6
239,"Князя Романа, 9  Близенько 2.00 грн",2025-11-22,54.8
293,"Коновальця, 50 Близенько 2 грн",2025-11-22,21.3
336,"Кубійовича, 31 Близенько 2.0",2025-11-22,57.8
184,"Кульпарківська, 135  Близенько 2.00 грн",2025-11-22,24.4
306,"Кульпарківська, 172  Близенько 2,00 грн",2025-11-22,9.9
109,"Кульпарківська, 230  Близенько 2.00 грн",2025-11-22,37.4
294,"Кульпарківська, 59  Близенько 2.00 грн",2025-11-22,16.1
187,"Кульпарківська, 93 Близенько 2.00 грн",2025-11-22,15.7
58,"Куровця,36 Рукавичка 1.50 грн",2025-11-22,21.3
335,"Лазаренка, 1 Близенько 1.50 грн",2025-11-22,0.9
335,"Лазаренка, 1 Близенько 1.50 грн",2025-11-23,8.1
292,"Лапаївка, Геофізиків, 17  Близенько 2.00 грн",2025-11-22,18.6
85,"Левицького, 106  Penkermarket 2.00 грн",2025-11-22,40.6
85,"Левицького, 106  Penkermarket 2.00 грн",2025-11-23,42.2
54,"Левицького, 43а  Кишенька 2.00 грн",2025-11-22,27.0
304,"Ленкавського, 34 Близенько 1.00 грн",2025-11-22,26.9
231,"Лисиничі, Шухевича, 5 Близенько 2.00 грн",2025-11-22,6.1
186,"Личаківська, 163  Близенько 2.00 грн",2025-11-22,37.6
193,"Личаківська, 4/6  Близенько 2.00 грн",2025-11-22,36.3
157,"Личаківська, 70а  Близенько 2.00 грн",2025-11-22,7.7
286,"Личаківська, 86  Близенько 2.00 грн",2025-11-22,16.2
