id,adress,dv2day,dv2week,dv2moun,dv1r,dv2r,dv3r
121,"Сахарова, 60",,5,5,rabotaet,nerabotaet,rabotaet
12,"Січових Стрільців, 13",,12,40,rabotaet,rabotaet,rabotaet
183,"Скорини, 44",,,,rabotaet,nerabotaet,rabotaet
228,"Сокільники, 18",,,,nerabotaet,nerabotaet,rabotaet
302,"Сокільники, 56",,,,rabotaet,nerabotaet,rabotaet
217,"Сокільники, 17в",,,4,rabotaet,nerabotaet,rabotaet
341,"Сокільники, 2",,,3,rabotaet,rabotaet,rabotaet
316,"Стрийська, 108",,,,rabotaet,nerabotaet,rabotaet
265,"Стрийська, 115",,,,rabotaet,nerabotaet,rabotaet
244,"Стрийська, 45в",,,,rabotaet,nerabotaet,rabotaet
127,"Стрийська, 51",,,,nerabotaet,nerabotaet,rabotaet
50,"Стрийська, 61",,,,nerabotaet,nerabotaet,rabotaet
323,"Суботівська, 10а",,,1,rabotaet,nerabotaet,rabotaet
214,"Суботівська, 7",,,1,rabotaet,rabotaet,rabotaet
56,"Тернопільська, 21",,18,23,nerabotaet,nerabotaet,rabotaet
174,"Тернопільська, 8",,,,rabotaet,nerabotaet,rabotaet
122,"Тичини, 14",,,,rabotaet,nerabotaet,rabotaet
319,"Тракт Глинянський, 163",,,,rabotaet,rabotaet,rabotaet
200,"Трускавецька, 129",,,,rabotaet,rabotaet,rabotaet
155,"Угорська, 12",,,,rabotaet,rabotaet,rabotaet
206,"Угорська, 14б",7,9,9,rabotaet,rabotaet,rabotaet
321,"Федьковича, 24",,,,rabotaet,rabotaet,rabotaet
176,"Федьковича, 38",,,1,rabotaet,nerabotaet,rabotaet
112,"Франка, 69",,,,rabotaet,nerabotaet,rabotaet
246,"Хмельницького, 257",,,,rabotaet,nerabotaet,rabotaet
185,"Хмельницького, 76",,,,rabotaet,rabotaet,rabotaet
256,"Художня, 4",,,,rabotaet,nerabotaet,rabotaet
317,"Цегельского, 10",,,7,nerabotaet,nerabotaet,rabotaet
278,"Чупринки, 84",,3,3,nerabotaet,nerabotaet,nerabotaet
104,"Шевченка, 111",,,26,rabotaet,rabotaet,rabotaet
247,"Шевченка, 31б",,,622,rabotaet,rabotaet,rabotaet
189,"Шевченка, 45",,,5,rabotaet,nerabotaet,rabotaet
177,"Шевченка, 80",,,22,rabotaet,nerabotaet,rabotaet
210,"Широка, 96а",,,13,rabotaet,nerabotaet,rabotaet
123,"Щурата, 9",,,1,nerabotaet,nerabotaet,rabotaet
211,"Яворницького, 8",,,,nerabotaet,nerabotaet,rabotaet
