id,adress,dv2day,dv2week,dv2moun,dv1r,dv2r,dv3r,dv6raz,dv6time,Sred,posl_znach,pokazat.skoros,TDS,TDSdata
343,"Наукова, 10а",,,,rabotaet,nerabotaet,rabotaet,0,,27.7,27.7,0.0,5,2025-10-27
245,"Наукова, 96",,,,rabotaet,nerabotaet,rabotaet,0,,,,,3,2025-11-06
196,"Ніжинська, 16",6,11,30,nerabotaet,rabotaet,rabotaet,2,,13.4,13.4,0.0,9,2025-09-12
298,"Освицька, 1",,2,2,rabotaet,nerabotaet,rabotaet,0,,27.85,26.8,1.05,20,2025-10-31
59,"Очеретяна, 10",,,,rabotaet,nerabotaet,rabotaet,0,,,,,20,2025-09-26
227,"Пасічна, 171",,,,rabotaet,nerabotaet,rabotaet,0,,,,,7,2025-10-31
281,"Пасічна, 84а",,,1,rabotaet,nerabotaet,rabotaet,0,,30.1,30.1,0.0,15,2025-10-30
119,"Пекарська, 14",,,,rabotaet,nerabotaet,rabotaet,0,,33.9,33.9,0.0,12,2025-11-13
208,"Петлюри, 2а",,,,nerabotaet,nerabotaet,rabotaet,0,,25.9,25.9,0.0,12,2025-10-27
238,"Під Голоском, 24б",,,,rabotaet,nerabotaet,rabotaet,0,,,,,17,2025-11-15
182,"Повітряна, 78",,,4,rabotaet,nerabotaet,rabotaet,0,,25.0,25.0,0.0,22,2025-11-07
86,"просп. Свободи, 1",,,8,rabotaet,nerabotaet,rabotaet,0,,35.5,35.5,0.0,9,2025-10-26
218,"просп.В.Чорновола, 7а",,,,rabotaet,nerabotaet,rabotaet,0,,12.8,12.8,0.0,4,2025-11-06
113,"просп.В.Чорновола, 101",4,4,5,rabotaet,rabotaet,rabotaet,2,,6.9,6.9,0.0,3,2025-11-17
264,"просп.В.Чорновола, 55",,,,rabotaet,nerabotaet,rabotaet,0,,,,,3,2025-11-20
192,"просп.В.Чорновола, 67ж",,,,nerabotaet,nerabotaet,rabotaet,0,,0.0,0.0,0.0,9,2025-11-06
124,"просп.В.Чорновола, 69",,,,rabotaet,nerabotaet,rabotaet,0,,17.9,17.9,0.0,4,2025-11-18
314,"Пулюя, 29",,,,rabotaet,rabotaet,rabotaet,0,,,,,37,2025-10-27
279,"Пулюя, 40",,1,6,rabotaet,nerabotaet,rabotaet,0,,,,,36,2025-10-27
53,"Родини Крушельницьких, 1а",,,4,rabotaet,nerabotaet,rabotaet,0,,50.6,50.6,0.0,11,2025-10-31
204,"Роксоляни, 57",,,6,rabotaet,nerabotaet,rabotaet,0,,14.5,14.5,0.0,35,2025-09-25
276,"Рудненська, 8ж",2,8,12,rabotaet,rabotaet,rabotaet,0,,13.85,15.7,-1.85,5,2025-11-07
296,"Садівнича, 27",,,,nerabotaet,nerabotaet,rabotaet,0,,11.8,11.8,0.0,7,2025-10-30
121,"Сахарова, 60",,5,5,rabotaet,nerabotaet,rabotaet,0,,37.0,37.0,0.0,6,2025-11-03
12,"Січових Стрільців, 13",,12,40,rabotaet,rabotaet,rabotaet,0,,27.7,27.7,0.0,15,2025-11-17
183,"Скорини, 44",,,,rabotaet,nerabotaet,rabotaet,0,,,,,20,2025-11-03
228,"Сокільники, 18",,,,nerabotaet,nerabotaet,rabotaet,0,,4.95,9.1,-4.15,12,2025-10-31
302,"Сокільники, 56",,,,rabotaet,nerabotaet,rabotaet,0,,,,,25,2025-10-31
217,"Сокільники, 17в",,,4,rabotaet,nerabotaet,rabotaet,0,,16.75,19.7,-2.95,3,2025-10-27
341,"Сокільники, 2",,,3,rabotaet,rabotaet,rabotaet,0,,24.8,24.8,0.0,50,2025-10-28
316,"Стрийська, 108",,,,rabotaet,nerabotaet,rabotaet,0,,7.9,7.9,0.0,43,2025-11-01
265,"Стрийська, 115",,,,rabotaet,nerabotaet,rabotaet,0,,40.8,40.8,0.0,28,2025-09-06
244,"Стрийська, 45в",,,,rabotaet,nerabotaet,rabotaet,0,,17.7,17.7,0.0,7,2025-11-03
127,"Стрийська, 51",,,,nerabotaet,nerabotaet,rabotaet,0,,,,,4,2025-10-25
50,"Стрийська, 61",,,,nerabotaet,nerabotaet,rabotaet,0,,,,,57,2025-10-02
323,"Суботівська, 10а",,,1,rabotaet,nerabotaet,rabotaet,0,,,,,10,2025-10-31
214,"Суботівська, 7",,,1,rabotaet,rabotaet,rabotaet,0,,,,,18,2025-10-31
56,"Тернопільська, 21",,18,23,nerabotaet,nerabotaet,rabotaet,0,,0.0,0.0,0.0,7,2025-10-29
174,"Тернопільська, 8",,,,rabotaet,nerabotaet,rabotaet,1,,27.8,27.8,0.0,4,2025-10-29
122,"Тичини, 14",,,,rabotaet,nerabotaet,rabotaet,0,,31.6,31.6,0.0,9,2025-11-06
319,"Тракт Глинянський, 163",,,,rabotaet,rabotaet,rabotaet,0,,,,,14,2025-11-22
200,"Трускавецька, 129",,,,rabotaet,rabotaet,rabotaet,0,,14.6,14.6,0.0,6,2025-10-27
155,"Угорська, 12",,,,rabotaet,rabotaet,rabotaet,1,,16.1,16.1,0.0,40,2025-10-29
206,"Угорська, 14б",7,9,9,rabotaet,rabotaet,rabotaet,0,,,,,17,2025-10-29
321,"Федьковича, 24",,,,rabotaet,rabotaet,rabotaet,0,,,,,22,2025-10-29
