id,name,lat,lon
192,"просп.В.Чорновола, 67ж  Близенько 1.50 грн",49.85882,24.01871
124,"просп.В.Чорновола, 69  Близенько 2.00 грн",49.86066,24.01892
285,"Протасевича,6 Близенько  2.00 грн",49.54424,25.63346
314,"Пулюя, 29  Близенько 2.00 грн",,
279,"Пулюя, 40  Близенько 1.50 грн",49.80106,23.98823
53,"Родини Крушельницьких, 1а  Близенько 2.00 грн",49.82829,24.04794
204,"Роксоляни, 57  Близенько 2.00 грн",49.84843,23.96132
276,"Рудненська,  8ж  Близенько 2.00 грн",49.83577,23.97265
296,"Садівнича, 27 Близенько 2.00 грн",,
121,"Сахарова, 60 Близенько 2.00 грн",49.82455,24.01127
12,"Січових Стрільців, 13 Близенько 2.00 грн",49.84013,24.02418
257,"Січових Стрільців, 7 Близенько 1.20 грн",,
183,"Скорини, 44 Близенько 1.50 грн",49.79793,24.02601
228,"Сокільники, Весняна, 18 Близенько 1.50 грн",49.82293,23.97909
302,"Сокільники, Г.Сковороди, 56  Близенько 1.50 грн",,
217,"Сокільники, Героїв Майдану, 17в Близенько 2.00 грн",49.79074,24.01016
341,"Сокільники, Збройних сил України, 2 1.50 грн",49.77131,23.96467
316,"Стрийська, 108  ЖК Національний 1.50 грн",49.8105,24.01775
265,"Стрийська, 115 Близенько 1.50 грн",49.78591,24.02347
244,"Стрийська, 45в Близенько 1.50 грн",49.80239,24.01977
127,"Стрийська, 51 Близенько 2.00 грн",49.80046,24.01869
50,"Стрийська, 61  Близенько 1.50 грн",49.79486,24.01764
323,"Суботівська, 10а Близенько 1.50 грн",49.84711,23.96663
214,"Суботівська, 7 Близенько 1.50 грн",49.84506,23.96604
56,"Тернопільська, 21 Близенько 1.50 грн",49.81201,24.03616
174,"Тернопільська, 8 Близенько 2.00 грн",49.81681,24.04333
122,"Тичини, 14 Близенько 2.00 грн",49.86869,24.03428
319,"Тракт Глинянський, 163 Сімі 1.50 грн",49.8422,24.10136
284,"Тролейбусна, 4а  Близенько 2.00 грн",,
200,"Трускавецька, 129 Близенько 2.00 грн",49.79803,23.98831
155,"Угорська, 12 Близенько 1.50 грн",49.812,24.04041
206,"Угорська, 14б Близенько 2.00 грн",49.80975,24.04275
321,"Федьковича, 24 Близенько 1.50 грн",49.83504,24.00222
176,"Федьковича, 38  Близенько 2.00 грн",49.8335,23.99945
112,"Франка, 69  Близенько 2.00 грн",49.83042,24.03235
