device_id,address,date,card_id,sum,banknotes,coins,descr
245,"Наукова, 96  Близенько 1.50 грн",2025-11-03 11:09:40,24662,0.00,1030.00,0.00,Р”РјРёС‚СЂРѕ  - 
196,"Ніжинська, 16  Близенько  2.00 грн",2025-10-26 19:11:03,23129,0.00,2931.00,0.00,Р†РіРѕСЂ  - 
196,"Ніжинська, 16  Близенько  2.00 грн",2025-10-26 19:11:12,23129,0.00,0.00,0.00,Р†РіРѕСЂ  - 
196,"Ніжинська, 16  Близенько  2.00 грн",2025-11-11 19:46:14,0,0.00,26.00,0.00,
196,"Ніжинська, 16  Близенько  2.00 грн",2025-11-11 19:46:25,0,0.00,0.00,0.00,
196,"Ніжинська, 16  Близенько  2.00 грн",2025-11-17 15:43:58,0,0.00,798.00,0.00,
196,"Ніжинська, 16  Близенько  2.00 грн",2025-11-17 15:44:05,0,0.00,0.00,0.00,
298,"Освицька, 1 Близенько 1.00 грн",2025-10-31 17:42:31,0,0.00,1383.00,0.00,
298,"Освицька, 1 Близенько 1.00 грн",2025-10-31 17:42:36,0,0.00,0.00,0.75,
59,"Очеретяна, 10  Близенько 1.50 грн",2025-11-08 20:56:39,0,0.00,683.00,0.00,
59,"Очеретяна, 10  Близенько 1.50 грн",2025-11-08 20:56:51,0,0.00,0.00,0.50,
227,"Пасічна, 171  Близенько 1.50 грн",2025-10-31 17:18:12,14147,0.00,888.00,0.00,Р СѓСЃР»Р°РЅ  - 
227,"Пасічна, 171  Близенько 1.50 грн",2025-10-31 17:18:21,14147,0.00,0.00,1314.50,Р СѓСЃР»Р°РЅ  - 
281,"Пасічна, 84а  Близенько 2.00 грн",2025-10-30 14:06:06,14147,0.00,1053.00,0.00,Р СѓСЃР»Р°РЅ  - 
281,"Пасічна, 84а  Близенько 2.00 грн",2025-10-30 14:06:15,14147,0.00,0.00,1510.50,Р СѓСЃР»Р°РЅ  - 
119,"Пекарська, 14  Близенько  2.00 грн",2025-10-26 16:45:35,23129,0.00,7189.00,0.00,Р†РіРѕСЂ  - 
119,"Пекарська, 14  Близенько  2.00 грн",2025-10-26 16:45:41,23129,0.00,0.00,4550.00,Р†РіРѕСЂ  - 
119,"Пекарська, 14  Близенько  2.00 грн",2025-11-13 18:22:04,23129,0.00,0.00,2597.00,Р†РіРѕСЂ  - 
119,"Пекарська, 14  Близенько  2.00 грн",2025-11-13 18:22:11,23129,0.00,4388.00,0.00,Р†РіРѕСЂ  - 
208,"Петлюри, 2а  Кафе 2.00 грн",2025-10-27 16:04:11,14147,0.00,601.00,0.00,Р СѓСЃР»Р°РЅ  - 
208,"Петлюри, 2а  Кафе 2.00 грн",2025-10-27 16:04:17,14147,0.00,0.00,1053.50,Р СѓСЃР»Р°РЅ  - 
