device_id,address,date,card_id,sum,banknotes,coins,descr,tech
189,"Шевченка, 45  Близенько 1.50 грн",2025-10-31 09:12:32,24662,0.0,2131.0,0.0,dmutro,dmutro
189,"Шевченка, 45  Близенько 1.50 грн",2025-10-31 09:12:38,24662,0.0,0.0,1236.0,dmutro,dmutro
177,"Шевченка, 80 Близенько  1.50 грн",2025-10-31 09:49:08,24662,0.0,1821.0,0.0,dmutro,dmutro
177,"Шевченка, 80 Близенько  1.50 грн",2025-10-31 09:49:25,24662,0.0,0.0,2672.5,dmutro,dmutro
210,"Широка, 96а  Близенько 1.50 грн",2025-10-29 15:20:17,24662,0.0,2175.0,0.0,dmutro,dmutro
210,"Широка, 96а  Близенько 1.50 грн",2025-10-29 15:20:45,24662,0.0,0.0,5200.25,dmutro,dmutro
123,"Щурата, 9  Близенько 1.50 грн",2025-11-08 21:22:05,23129,0.0,1952.0,0.0,igor,igor
123,"Щурата, 9  Близенько 1.50 грн",2025-11-08 21:22:09,23129,0.0,0.0,4588.5,igor,igor
211,"Яворницького, 8  Близенько 2.00 грн",2025-10-27 14:32:48,14147,0.0,1633.0,0.0,ruslan,ruslan
211,"Яворницького, 8  Близенько 2.00 грн",2025-10-27 14:32:58,14147,0.0,0.0,2314.0,ruslan,ruslan
