device_id,address,date,name,state,sens_val,descr
243,"Брюховичі Львівська, 92 Близенько 2.00 грн",2025-11-20 21:19:58,dv6,off,950,нижній давач в баці переливу
243,"Брюховичі Львівська, 92 Близенько 2.00 грн",2025-11-20 21:19:58,dv7,off,950,верхній давач в баці переливу
243,"Брюховичі Львівська, 92 Близенько 2.00 грн",2025-11-20 21:19:58,dv8,off,950,піддон
344,"Брюховичі, Весняна, 1а 1.50 грн",2025-11-20 21:21:35,dv1,on,60,наявність води на вході
344,"Брюховичі, Весняна, 1а 1.50 грн",2025-11-20 21:21:35,dv2,on,60,нижній рівень води в накопичувальному баці
344,"Брюховичі, Весняна, 1а 1.50 грн",2025-11-23 09:36:28,dv3,off,950,верхній рівень води в накопичувальному баці
344,"Брюховичі, Весняна, 1а 1.50 грн",2025-11-20 21:21:35,dv4,on,60,Тиск-дренаж1
344,"Брюховичі, Весняна, 1а 1.50 грн",2025-11-20 21:21:35,dv5,on,60,нижній давач в баці переливу
344,"Брюховичі, Весняна, 1а 1.50 грн",2025-11-20 21:21:35,dv6,off,950,нижній давач в баці переливу
344,"Брюховичі, Весняна, 1а 1.50 грн",2025-11-20 21:21:35,dv7,off,950,верхній давач в баці переливу
344,"Брюховичі, Весняна, 1а 1.50 грн",2025-11-20 21:21:35,dv8,off,950,піддон
179,"В.Великого, 1 Близенько 2.00 грн",2025-11-23 09:31:37,dv1,on,60,наявність води на вході
179,"В.Великого, 1 Близенько 2.00 грн",2025-11-20 13:03:35,dv2,on,60,нижній рівень води в накопичувальному баці
179,"В.Великого, 1 Близенько 2.00 грн",2025-11-23 09:30:48,dv3,off,950,верхній рівень води в накопичувальному баці
179,"В.Великого, 1 Близенько 2.00 грн",2025-11-20 13:03:35,dv4,on,60,Тиск-дренаж1
179,"В.Великого, 1 Близенько 2.00 грн",2025-11-20 13:03:35,dv5,on,60,нижній давач в баці переливу
179,"В.Великого, 1 Близенько 2.00 грн",2025-11-20 13:03:35,dv6,off,950,нижній давач в баці переливу
179,"В.Великого, 1 Близенько 2.00 грн",2025-11-20 13:03:35,dv7,off,950,верхній давач в баці переливу
179,"В.Великого, 1 Близенько 2.00 грн",2025-11-20 13:03:35,dv8,off,950,піддон
18,"В.Великого, 103  Близенько 1.50 грн",2025-11-22 20:35:16,dv1,off,950,наявність води на вході
18,"В.Великого, 103  Близенько 1.50 грн",2025-11-20 13:51:42,dv2,on,499,нижній рівень води в накопичувальному баці
18,"В.Великого, 103  Близенько 1.50 грн",2025-11-22 20:29:19,dv3,on,632,верхній рівень води в накопичувальному баці
